-,-,-
0, -12, 1004
0, -12, 1004
38, -29, 1011
5, -44, 1009
-35, -1, 1009
-24, 15, 1010
-24, 15, 1010
-2, -14, 1008
-2, -15, 1008
-2, -5, 1011
-5, -20, 1007
-5, -20, 1007
-8, -15, 1008
-1, -18, 1008
-14, -25, 1007
-,-,-
-2, -15, 1010
-2, -14, 1009
-3, -14, 1010
-2, -14, 1007
-2, -14, 1007
-2, -14, 1008
-2, -14, 1008
-2, -14, 1008
-2, -14, 1009
-2, -15, 1008
-2, -15, 1008
-2, -14, 1008
-3, -14, 1007
-2, -14, 1008
-2, -14, 1007
-2, -14, 1007
-2, -14, 1007
-3, -15, 1007
-3, -14, 1006
-2, -14, 1007
-2, -15, 1006
-2, -15, 1006
-3, -14, 1007
-3, -14, 1007
-2, -14, 1006
-2, -14, 1006
-2, -14, 1007
-2, -14, 1007
-1, -14, 1006
-2, -14, 1007
-2, -15, 1006
-2, -14, 1007
-2, -14, 1007
-2, -14, 1007
-3, -14, 1007
-2, -14, 1006
-3, -14, 1007
-2, -14, 1007
-2, -14, 1007
-2, -14, 1007
-3, -14, 1008
-2, -14, 1008
-2, -14, 1008
-2, -14, 1008
-2, -14, 1008
-2, -15, 1007
-2, -14, 1008
-3, -14, 1007
-2, -13, 1008
-2, -13, 1008
-2, -15, 1007
-3, -14, 1007
-3, -14, 1006
-2, -14, 1008
-2, -14, 1008
-2, -14, 1007
-2, -14, 1007
-2, -14, 1008
-2, -14, 1008
-2, -14, 1008
-2, -14, 1008
-2, -14, 1008
-2, -15, 1008
-2, -14, 1008
-2, -15, 1008
-2, -15, 1008
-2, -15, 1008
-2, -14, 1008
-2, -14, 1008
-2, -14, 1007
-2, -14, 1008
-2, -14, 1008
-2, -13, 1008
-2, -14, 1008
-2, -14, 1008
-2, -15, 1008
-2, -14, 1007
-2, -14, 1007
-2, -14, 1008
-2, -14, 1008
-2, -14, 1008
-3, -14, 1008
-3, -14, 1008
-2, -14, 1008
-3, -14, 1008
-2, -15, 1008
-2, -14, 1008
