-,-,-
62, 47, 966
124, 5, 1051
124, 5, 1051
150, -40, 1160
199, -28, 1079
308, 17, 1068
392, -48, 1083
451, -76, 1054
461, -66, 998
461, -66, 998
431, -20, 1021
375, 15, 952
325, -13, 953
237, 14, 909
237, 14, 909
153, -17, 951
75, 20, 967
32, 70, 968
32, 70, 968
-1, 25, 1007
-28, 21, 990
-78, -51, 1010
-163, -59, 991
-163, -59, 991
-191, -13, 899
-220, 1, 863
-283, -62, 982
-342, -163, 1048
-411, -142, 1051
-,-,-
-55, 15, 992
-55, 15, 992
1, -40, 1083
30, -70, 1029
86, -33, 947
86, -33, 947
129, -40, 1039
220, -83, 1056
362, -45, 1013
455, 4, 1002
429, 21, 1161
429, 21, 1161
370, 31, 1095
352, -3, 984
343, -45, 893
304, -71, 931
304, -71, 931
197, -31, 915
117, 3, 959
99, 31, 950
100, -41, 967
100, -41, 967
57, -62, 975
-27, -1, 1026
-46, -7, 1047
-30, -8, 1002
-30, -8, 1002
-60, -19, 1046
-106, 113, 1090
-147, 27, 1086
-149, -11, 995
-156, -39, 859
-157, -21, 823
-195, 50, 947
-195, 50, 947
-232, 115, 1054
-266, 98, 1123
-292, 89, 1082
-344, 131, 987
-390, 30, 1009
-433, -41, 1104
-464, -47, 1127
-464, -47, 1127
-468, 21, 1059
-,-,-
31, 52, 987
35, 31, 1078
137, 54, 1183
253, 89, 1068
253, 89, 1068
282, 67, 990
277, -26, 954
280, -47, 1081
371, 42, 1063
364, 74, 1002
364, 74, 1002
311, 14, 1013
282, -25, 927
286, 21, 930
276, 13, 952
276, 13, 952
271, 54, 874
253, -22, 870
187, -29, 976
117, 46, 1008
117, 46, 1008
87, 44, 970
81, -24, 884
28, -83, 969
28, -83, 969
-30, -48, 967
-62, 10, 927
-69, 61, 961
-79, -76, 1028
-79, -76, 1028
-124, -18, 1048
-185, 52, 1110
-232, 40, 1107
-223, -82, 1055
-219, -97, 976
-230, -89, 1019
-277, -63, 1141
-314, -102, 1094
-333, -104, 1051
-335, -64, 1061
